IDFactura,Rama,Ciudad,TipoCliente,Genero,ClasificacionProducto,PrecioUnitario,Cantidad,Impuesto5%,MontoVenta,Fecha,Hora,MetodoPago,Costo,PorcentajeGanancia,GananciaNeta,PuntuacionCompra
782-95-9291,Alex,Yangon,Afiliado,Masculino,Comestibles,92.29,5,23.0725,484.5225,2/20/2019,0.663194444,Tarjeta,461.45,4.761904762,23.0725,9
279-74-2924,Cairo,Mandalay,Afiliado,Masculino,Accesorios electronicos,72.17,1,3.6085,75.7785,1/4/2019,0.819444444,Efectivo,72.17,4.761904762,3.6085,6.1
307-85-2293,Cairo,Mandalay,Normal,Masculino,Articulos para el hogar,50.28,5,12.57,263.97,3/7/2019,0.581944444,Digital,251.4,4.761904762,12.57,9.7
743-04-1105,Cairo,Mandalay,Afiliado,Masculino,Salud y belleza,97.22,9,43.749,918.729,3/30/2019,0.613194444,Digital,874.98,4.761904762,43.749,6
423-57-2993,Cairo,Mandalay,Normal,Masculino,Entrenamiento y viajes,93.39,6,28.017,588.357,3/27/2019,0.804166667,Digital,560.34,4.761904762,28.017,10
894-41-5205,Giza,Naypyitaw,Normal,Femenino,Comestibles,43.18,8,17.272,362.712,1/19/2019,0.81875,Tarjeta,345.44,4.761904762,17.272,8.3
275-28-0149,Alex,Yangon,Normal,Masculino,Entrenamiento y viajes,63.69,1,3.1845,66.8745,2/25/2019,0.68125,Efectivo,63.69,4.761904762,3.1845,6
101-17-6199,Alex,Yangon,Normal,Masculino,Comestibles,45.79,7,16.0265,336.5565,3/13/2019,0.822222222,Tarjeta,320.53,4.761904762,16.0265,7
423-80-0988,Giza,Naypyitaw,Normal,Masculino,Entrenamiento y viajes,76.4,2,7.64,160.44,1/30/2019,0.820833333,Digital,152.8,4.761904762,7.64,6.5
548-46-9322,Cairo,Mandalay,Normal,Masculino,Comestibles,39.9,10,19.95,418.95,2/20/2019,0.641666667,Tarjeta,399,4.761904762,19.95,5.9
505-02-0892,Cairo,Mandalay,Afiliado,Masculino,Salud y belleza,42.57,8,17.028,357.588,2/25/2019,0.591666667,Digital,340.56,4.761904762,17.028,5.6
234-65-2137,Giza,Naypyitaw,Normal,Masculino,Articulos para el hogar,95.58,10,47.79,1003.59,1/16/2019,0.563888889,Efectivo,955.8,4.761904762,47.79,4.8
687-47-8271,Alex,Yangon,Normal,Masculino,Accesorios de moda,98.98,10,49.49,1039.29,2/8/2019,0.680555556,Tarjeta,989.8,4.761904762,49.49,8.7
796-32-9050,Alex,Yangon,Normal,Masculino,Comestibles,51.28,6,15.384,323.064,1/19/2019,0.688194444,Efectivo,307.68,4.761904762,15.384,6.5
105-31-1824,Alex,Yangon,Afiliado,Masculino,Entrenamiento y viajes,69.52,7,24.332,510.972,2/1/2019,0.631944444,Tarjeta,486.64,4.761904762,24.332,8.5
249-42-3782,Alex,Yangon,Normal,Masculino,Salud y belleza,70.01,5,17.5025,367.5525,1/3/2019,0.483333333,Digital,350.05,4.761904762,17.5025,5.5
316-55-4634,Cairo,Mandalay,Afiliado,Masculino,Comestibles,80.05,5,20.0125,420.2625,1/26/2019,0.53125,Tarjeta,400.25,4.761904762,20.0125,9.4
733-33-4967,Giza,Naypyitaw,Normal,Masculino,Accesorios electronicos,20.85,8,8.34,175.14,3/3/2019,0.803472222,Efectivo,166.8,4.761904762,8.34,6.3
608-27-6295,Cairo,Mandalay,Afiliado,Masculino,Accesorios electronicos,52.89,6,15.867,333.207,1/19/2019,0.731944444,Tarjeta,317.34,4.761904762,15.867,9.8
414-12-7047,Cairo,Mandalay,Normal,Masculino,Comestibles,19.79,8,7.916,166.236,1/18/2019,0.502777778,Digital,158.32,4.761904762,7.916,8.7
827-26-2100,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,33.84,9,15.228,319.788,3/21/2019,0.68125,Digital,304.56,4.761904762,15.228,8.8
175-54-2529,Alex,Yangon,Afiliado,Masculino,Comestibles,22.17,8,8.868,186.228,3/3/2019,0.709027778,Tarjeta,177.36,4.761904762,8.868,9.6
139-52-2867,Giza,Naypyitaw,Normal,Femenino,Accesorios de moda,22.51,7,7.8785,165.4485,2/13/2019,0.451388889,Tarjeta,157.57,4.761904762,7.8785,4.8
407-63-8975,Alex,Yangon,Normal,Masculino,Comestibles,73.88,6,22.164,465.444,3/23/2019,0.802777778,Digital,443.28,4.761904762,22.164,4.4
342-65-4817,Giza,Naypyitaw,Afiliado,Masculino,Salud y belleza,86.8,3,13.02,273.42,1/28/2019,0.699305556,Digital,260.4,4.761904762,13.02,9.9
130-98-8941,Giza,Naypyitaw,Normal,Masculino,Accesorios de moda,64.26,7,22.491,472.311,2/9/2019,0.416666667,Efectivo,449.82,4.761904762,22.491,5.7
434-83-9547,Giza,Naypyitaw,Afiliado,Masculino,Comestibles,38.47,8,15.388,323.148,1/23/2019,0.49375,Efectivo,307.76,4.761904762,15.388,7.7
851-28-6367,Alex,Yangon,Afiliado,Masculino,Entrenamiento y viajes,15.5,10,7.75,162.75,3/23/2019,0.454861111,Digital,155,4.761904762,7.75,8
824-88-3614,Giza,Naypyitaw,Normal,Masculino,Salud y belleza,34.31,8,13.724,288.204,1/25/2019,0.625,Digital,274.48,4.761904762,13.724,5.7
586-25-0848,Alex,Yangon,Normal,Femenino,Entrenamiento y viajes,12.34,7,4.319,90.699,3/4/2019,0.471527778,Tarjeta,86.38,4.761904762,4.319,6.7
895-66-0685,Cairo,Mandalay,Afiliado,Masculino,Comestibles,18.08,3,2.712,56.952,3/5/2019,0.823611111,Digital,54.24,4.761904762,2.712,8
305-14-0245,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,94.49,8,37.796,793.716,3/3/2019,0.791666667,Digital,755.92,4.761904762,37.796,7.5
732-04-5373,Cairo,Mandalay,Afiliado,Masculino,Articulos para el hogar,46.47,4,9.294,195.174,2/8/2019,0.453472222,Efectivo,185.88,4.761904762,9.294,7
400-60-7251,Alex,Yangon,Normal,Masculino,Articulos para el hogar,74.07,1,3.7035,77.7735,2/10/2019,0.534722222,Digital,74.07,4.761904762,3.7035,9.9
593-65-1552,Giza,Naypyitaw,Normal,Femenino,Articulos para el hogar,69.81,4,13.962,293.202,1/28/2019,0.868055556,Tarjeta,279.24,4.761904762,13.962,5.9
284-34-9626,Cairo,Mandalay,Normal,Femenino,Articulos para el hogar,77.04,3,11.556,242.676,2/11/2019,0.44375,Tarjeta,231.12,4.761904762,11.556,7.2
437-58-8131,Cairo,Mandalay,Normal,Femenino,Accesorios de moda,73.52,2,7.352,154.392,1/15/2019,0.570138889,Digital,147.04,4.761904762,7.352,4.6
286-43-6208,Giza,Naypyitaw,Normal,Femenino,Comestibles,87.8,9,39.51,829.71,3/16/2019,0.797222222,Efectivo,790.2,4.761904762,39.51,9.2
641-43-2399,Cairo,Mandalay,Normal,Masculino,Articulos para el hogar,25.55,4,5.11,107.31,1/26/2019,0.849305556,Digital,102.2,4.761904762,5.11,5.7
831-07-6050,Alex,Yangon,Normal,Masculino,Accesorios electronicos,32.71,5,8.1775,171.7275,3/19/2019,0.479166667,Tarjeta,163.55,4.761904762,8.1775,9.9
556-86-3144,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,74.29,1,3.7145,78.0045,1/13/2019,0.8125,Efectivo,74.29,4.761904762,3.7145,5
848-24-9445,Giza,Naypyitaw,Afiliado,Masculino,Salud y belleza,43.7,2,4.37,91.77,3/26/2019,0.752083333,Efectivo,87.4,4.761904762,4.37,4.9
856-22-8149,Alex,Yangon,Normal,Femenino,Articulos para el hogar,25.29,1,1.2645,26.5545,3/23/2019,0.425694444,Digital,25.29,4.761904762,1.2645,6.1
699-01-4164,Giza,Naypyitaw,Normal,Masculino,Salud y belleza,41.5,4,8.3,174.3,3/12/2019,0.831944444,Tarjeta,166,4.761904762,8.3,8.2
420-11-4919,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,71.39,5,17.8475,374.7975,2/17/2019,0.83125,Tarjeta,356.95,4.761904762,17.8475,5.5
606-80-4905,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,19.15,6,5.745,120.645,1/29/2019,0.417361111,Tarjeta,114.9,4.761904762,5.745,6.8
542-41-0513,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,57.49,4,11.498,241.458,3/15/2019,0.497916667,Efectivo,229.96,4.761904762,11.498,6.6
426-39-2418,Giza,Naypyitaw,Normal,Masculino,Accesorios electronicos,61.41,7,21.4935,451.3635,1/14/2019,0.418055556,Efectivo,429.87,4.761904762,21.4935,9.8
875-46-5808,Cairo,Mandalay,Afiliado,Masculino,Salud y belleza,25.9,10,12.95,271.95,2/6/2019,0.61875,Digital,259,4.761904762,12.95,8.7
394-43-4238,Cairo,Mandalay,Afiliado,Masculino,Articulos para el hogar,17.77,5,4.4425,93.2925,2/15/2019,0.529166667,Tarjeta,88.85,4.761904762,4.4425,5.4
749-24-1565,Alex,Yangon,Normal,Femenino,Salud y belleza,23.03,9,10.3635,217.6335,1/3/2019,0.501388889,Digital,207.27,4.761904762,10.3635,7.9
672-51-8681,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,66.65,9,29.9925,629.8425,1/4/2019,0.763194444,Tarjeta,599.85,4.761904762,29.9925,9.7
263-87-5680,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,28.53,10,14.265,299.565,3/18/2019,0.734722222,Digital,285.3,4.761904762,14.265,7.8
573-58-9734,Cairo,Mandalay,Normal,Femenino,Accesorios de moda,30.37,3,4.5555,95.6655,3/28/2019,0.570138889,Digital,91.11,4.761904762,4.5555,5.1
817-69-8206,Cairo,Mandalay,Normal,Femenino,Accesorios electronicos,99.73,9,44.8785,942.4485,3/2/2019,0.820833333,Tarjeta,897.57,4.761904762,44.8785,6.5
888-02-0338,Alex,Yangon,Normal,Masculino,Accesorios electronicos,26.23,9,11.8035,247.8735,1/25/2019,0.85,Digital,236.07,4.761904762,11.8035,5.9
677-11-0152,Giza,Naypyitaw,Normal,Femenino,Comestibles,93.26,9,41.967,881.307,1/16/2019,0.755555556,Efectivo,839.34,4.761904762,41.967,8.8
142-63-6033,Cairo,Mandalay,Normal,Masculino,Articulos para el hogar,92.36,5,23.09,484.89,3/20/2019,0.803472222,Digital,461.8,4.761904762,23.09,4.9
656-16-1063,Cairo,Mandalay,Normal,Masculino,Entrenamiento y viajes,46.42,3,6.963,146.223,1/4/2019,0.558333333,Tarjeta,139.26,4.761904762,6.963,4.4
891-58-8335,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,29.61,7,10.3635,217.6335,3/11/2019,0.661805556,Efectivo,207.27,4.761904762,10.3635,6.5
802-43-8934,Alex,Yangon,Normal,Masculino,Articulos para el hogar,18.28,1,0.914,19.194,3/22/2019,0.628472222,Tarjeta,18.28,4.761904762,0.914,8.3
560-30-5617,Cairo,Mandalay,Normal,Femenino,Entrenamiento y viajes,24.77,5,6.1925,130.0425,3/24/2019,0.76875,Efectivo,123.85,4.761904762,6.1925,8.5
319-74-2561,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,94.64,3,14.196,298.116,2/21/2019,0.704861111,Efectivo,283.92,4.761904762,14.196,5.5
549-03-9315,Cairo,Mandalay,Normal,Masculino,Accesorios de moda,94.87,8,37.948,796.908,2/12/2019,0.540277778,Digital,758.96,4.761904762,37.948,8.7
790-29-1172,Cairo,Mandalay,Normal,Femenino,Comestibles,57.34,3,8.601,180.621,3/10/2019,0.790972222,Tarjeta,172.02,4.761904762,8.601,7.9
239-36-3640,Cairo,Mandalay,Normal,Masculino,Accesorios electronicos,45.35,6,13.605,285.705,1/31/2019,0.572222222,Digital,272.1,4.761904762,13.605,6.1
468-01-2051,Cairo,Mandalay,Normal,Masculino,Comestibles,62.08,7,21.728,456.288,3/6/2019,0.573611111,Digital,434.56,4.761904762,21.728,5.4
389-25-3394,Giza,Naypyitaw,Normal,Masculino,Accesorios electronicos,11.81,5,2.9525,62.0025,2/17/2019,0.754166667,Efectivo,59.05,4.761904762,2.9525,9.4
279-62-1445,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,12.54,1,0.627,13.167,2/21/2019,0.526388889,Efectivo,12.54,4.761904762,0.627,8.2
213-72-6612,Alex,Yangon,Normal,Masculino,Comestibles,43.25,2,4.325,90.825,3/20/2019,0.663888889,Efectivo,86.5,4.761904762,4.325,6.2
746-68-6593,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,87.16,2,8.716,183.036,1/11/2019,0.603472222,Tarjeta,174.32,4.761904762,8.716,9.7
836-82-5858,Cairo,Mandalay,Afiliado,Masculino,Salud y belleza,69.37,9,31.2165,655.5465,1/26/2019,0.801388889,Digital,624.33,4.761904762,31.2165,4
583-72-1480,Giza,Naypyitaw,Afiliado,Masculino,Accesorios electronicos,37.06,4,7.412,155.652,1/31/2019,0.683333333,Digital,148.24,4.761904762,7.412,9.7
466-61-5506,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,90.7,6,27.21,571.41,2/26/2019,0.452777778,Efectivo,544.2,4.761904762,27.21,5.3
721-86-6247,Alex,Yangon,Normal,Femenino,Articulos para el hogar,63.42,8,25.368,532.728,3/11/2019,0.538194444,Digital,507.36,4.761904762,25.368,7.4
289-65-5721,Cairo,Mandalay,Normal,Femenino,Accesorios de moda,81.37,2,8.137,170.877,1/26/2019,0.811111111,Efectivo,162.74,4.761904762,8.137,6.5
545-46-3100,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,10.59,3,1.5885,33.3585,3/12/2019,0.577777778,Tarjeta,31.77,4.761904762,1.5885,8.7
418-02-5978,Cairo,Mandalay,Normal,Femenino,Salud y belleza,84.09,9,37.8405,794.6505,2/11/2019,0.454166667,Efectivo,756.81,4.761904762,37.8405,8
269-04-5750,Cairo,Mandalay,Afiliado,Masculino,Accesorios de moda,73.82,4,14.764,310.044,2/21/2019,0.771527778,Efectivo,295.28,4.761904762,14.764,6.7
157-13-5295,Alex,Yangon,Afiliado,Masculino,Salud y belleza,51.94,10,25.97,545.37,3/9/2019,0.766666667,Digital,519.4,4.761904762,25.97,6.5
645-78-8093,Alex,Yangon,Normal,Femenino,Entrenamiento y viajes,93.14,2,9.314,195.594,1/20/2019,0.75625,Digital,186.28,4.761904762,9.314,4.1
211-30-9270,Giza,Naypyitaw,Normal,Masculino,Salud y belleza,17.41,5,4.3525,91.4025,1/28/2019,0.636111111,Tarjeta,87.05,4.761904762,4.3525,4.9
755-12-3214,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,44.22,5,11.055,232.155,3/5/2019,0.713194444,Tarjeta,221.1,4.761904762,11.055,8.6
346-84-3103,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,13.22,5,3.305,69.405,3/2/2019,0.809722222,Efectivo,66.1,4.761904762,3.305,4.3
478-06-7835,Alex,Yangon,Normal,Masculino,Accesorios de moda,89.69,1,4.4845,94.1745,1/11/2019,0.472222222,Digital,89.69,4.761904762,4.4845,4.9
540-11-4336,Alex,Yangon,Normal,Masculino,Comestibles,24.94,9,11.223,235.683,1/11/2019,0.700694444,Tarjeta,224.46,4.761904762,11.223,5.6
448-81-5016,Alex,Yangon,Normal,Masculino,Salud y belleza,59.77,2,5.977,125.517,3/11/2019,0.500694444,Tarjeta,119.54,4.761904762,5.977,5.8
142-72-4741,Giza,Naypyitaw,Afiliado,Masculino,Accesorios de moda,93.2,2,9.32,195.72,2/28/2019,0.775694444,Tarjeta,186.4,4.761904762,9.32,6
217-58-1179,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,62.65,4,12.53,263.13,1/5/2019,0.475694444,Efectivo,250.6,4.761904762,12.53,4.2
376-02-8238,Cairo,Mandalay,Normal,Masculino,Articulos para el hogar,93.87,8,37.548,788.508,2/2/2019,0.779166667,Tarjeta,750.96,4.761904762,37.548,8.3
530-90-9855,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,47.59,8,19.036,399.756,1/1/2019,0.615972222,Efectivo,380.72,4.761904762,19.036,5.7
866-05-7563,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,81.4,3,12.21,256.41,2/9/2019,0.821527778,Efectivo,244.2,4.761904762,12.21,4.8
604-70-6476,Alex,Yangon,Afiliado,Masculino,Accesorios de moda,17.94,5,4.485,94.185,1/23/2019,0.586111111,Digital,89.7,4.761904762,4.485,6.8
799-71-1548,Alex,Yangon,Afiliado,Masculino,Accesorios electronicos,77.72,4,15.544,326.424,1/7/2019,0.674305556,Tarjeta,310.88,4.761904762,15.544,8.8
785-13-7708,Cairo,Mandalay,Normal,Masculino,Comestibles,73.06,7,25.571,536.991,1/14/2019,0.795833333,Tarjeta,511.42,4.761904762,25.571,4.2
845-51-0542,Cairo,Mandalay,Afiliado,Masculino,Comestibles,46.55,9,20.9475,439.8975,2/2/2019,0.648611111,Digital,418.95,4.761904762,20.9475,6.4
662-47-5456,Giza,Naypyitaw,Afiliado,Masculino,Accesorios de moda,35.19,10,17.595,369.495,3/17/2019,0.795833333,Tarjeta,351.9,4.761904762,17.595,8.4
883-17-4236,Giza,Naypyitaw,Normal,Femenino,Entrenamiento y viajes,14.39,2,1.439,30.219,3/2/2019,0.822222222,Tarjeta,28.78,4.761904762,1.439,7.2
290-68-2984,Alex,Yangon,Normal,Masculino,Articulos para el hogar,23.75,4,4.75,99.75,3/16/2019,0.473611111,Efectivo,95,4.761904762,4.75,5.2
704-11-6354,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,58.9,8,23.56,494.76,1/6/2019,0.474305556,Efectivo,471.2,4.761904762,23.56,8.9
110-48-7033,Cairo,Mandalay,Afiliado,Masculino,Accesorios de moda,32.62,4,6.524,137.004,1/29/2019,0.591666667,Efectivo,130.48,4.761904762,6.524,9
366-93-0948,Alex,Yangon,Afiliado,Masculino,Accesorios electronicos,66.35,1,3.3175,69.6675,1/31/2019,0.448611111,Tarjeta,66.35,4.761904762,3.3175,9.7
729-09-9681,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,25.91,6,7.773,163.233,2/5/2019,0.427777778,Digital,155.46,4.761904762,7.773,8.7
151-16-1484,Alex,Yangon,Afiliado,Masculino,Accesorios electronicos,32.25,4,6.45,135.45,2/13/2019,0.526388889,Digital,129,4.761904762,6.45,6.5
380-94-4661,Giza,Naypyitaw,Afiliado,Masculino,Accesorios electronicos,65.94,4,13.188,276.948,2/7/2019,0.545138889,Tarjeta,263.76,4.761904762,13.188,6.9
850-41-9669,Alex,Yangon,Normal,Femenino,Accesorios electronicos,75.06,9,33.777,709.317,3/19/2019,0.559027778,Digital,675.54,4.761904762,33.777,6.2
821-07-3596,Giza,Naypyitaw,Normal,Femenino,Accesorios de moda,16.45,4,3.29,69.09,3/7/2019,0.620138889,Digital,65.8,4.761904762,3.29,5.6
655-85-5130,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,38.3,4,7.66,160.86,3/13/2019,0.806944444,Efectivo,153.2,4.761904762,7.66,5.7
447-15-7839,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,22.24,10,11.12,233.52,2/9/2019,0.458333333,Efectivo,222.4,4.761904762,11.12,4.2
154-74-7179,Cairo,Mandalay,Normal,Masculino,Entrenamiento y viajes,54.45,1,2.7225,57.1725,2/26/2019,0.808333333,Digital,54.45,4.761904762,2.7225,7.9
253-12-6086,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,98.4,7,34.44,723.24,3/12/2019,0.529861111,Tarjeta,688.8,4.761904762,34.44,8.7
808-65-0703,Giza,Naypyitaw,Normal,Masculino,Articulos para el hogar,35.47,4,7.094,148.974,3/14/2019,0.723611111,Tarjeta,141.88,4.761904762,7.094,6.9
571-94-0759,Cairo,Mandalay,Afiliado,Femenino,Comestibles,74.6,10,37.3,783.3,1/8/2019,0.871527778,Efectivo,746,4.761904762,37.3,9.5
144-51-6085,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,70.74,4,14.148,297.108,1/5/2019,0.670138889,Tarjeta,282.96,4.761904762,14.148,4.4
731-14-2199,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,35.54,10,17.77,373.17,1/4/2019,0.565277778,Digital,355.4,4.761904762,17.77,7
783-09-1637,Cairo,Mandalay,Normal,Femenino,Entrenamiento y viajes,67.43,5,16.8575,354.0075,3/6/2019,0.759027778,Digital,337.15,4.761904762,16.8575,6.3
687-15-1097,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,21.12,2,2.112,44.352,1/3/2019,0.803472222,Efectivo,42.24,4.761904762,2.112,9.7
126-54-1082,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,21.54,9,9.693,203.553,1/7/2019,0.488888889,Tarjeta,193.86,4.761904762,9.693,8.8
633-91-1052,Alex,Yangon,Normal,Femenino,Articulos para el hogar,12.03,2,1.203,25.263,1/27/2019,0.660416667,Efectivo,24.06,4.761904762,1.203,5.1
477-24-6490,Cairo,Mandalay,Normal,Femenino,Salud y belleza,99.71,6,29.913,628.173,2/26/2019,0.702777778,Digital,598.26,4.761904762,29.913,7.9
566-19-5475,Cairo,Mandalay,Normal,Masculino,Accesorios de moda,47.97,7,16.7895,352.5795,1/7/2019,0.869444444,Efectivo,335.79,4.761904762,16.7895,6.2
526-86-8552,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,21.82,10,10.91,229.11,1/7/2019,0.733333333,Efectivo,218.2,4.761904762,10.91,7.1
376-56-3573,Giza,Naypyitaw,Normal,Femenino,Accesorios de moda,95.42,4,19.084,400.764,2/2/2019,0.557638889,Digital,381.68,4.761904762,19.084,6.4
537-72-0426,Giza,Naypyitaw,Afiliado,Masculino,Accesorios de moda,70.99,10,35.495,745.395,3/20/2019,0.686111111,Efectivo,709.9,4.761904762,35.495,5.7
828-61-5674,Alex,Yangon,Afiliado,Masculino,Entrenamiento y viajes,44.02,10,22.01,462.21,3/20/2019,0.83125,Tarjeta,440.2,4.761904762,22.01,9.6
136-08-6195,Alex,Yangon,Normal,Femenino,Articulos para el hogar,69.96,8,27.984,587.664,2/15/2019,0.709027778,Tarjeta,559.68,4.761904762,27.984,6.4
523-38-0215,Giza,Naypyitaw,Normal,Masculino,Articulos para el hogar,37,1,1.85,38.85,3/6/2019,0.561805556,Tarjeta,37,4.761904762,1.85,7.9
490-29-1201,Alex,Yangon,Normal,Femenino,Entrenamiento y viajes,15.34,1,0.767,16.107,1/6/2019,0.464583333,Efectivo,15.34,4.761904762,0.767,6.5
667-92-0055,Alex,Yangon,Afiliado,Masculino,Salud y belleza,99.83,6,29.949,628.929,3/4/2019,0.626388889,Digital,598.98,4.761904762,29.949,8.5
565-17-3836,Alex,Yangon,Afiliado,Femenino,Salud y belleza,47.67,4,9.534,200.214,3/12/2019,0.597916667,Efectivo,190.68,4.761904762,9.534,9.1
498-41-1961,Cairo,Mandalay,Normal,Masculino,Salud y belleza,66.68,5,16.67,350.07,2/20/2019,0.750694444,Efectivo,333.4,4.761904762,16.67,7.6
593-95-4461,Giza,Naypyitaw,Afiliado,Masculino,Articulos para el hogar,74.86,1,3.743,78.603,3/24/2019,0.617361111,Efectivo,74.86,4.761904762,3.743,6.9
226-71-3580,Giza,Naypyitaw,Normal,Femenino,Entrenamiento y viajes,23.75,9,10.6875,224.4375,1/31/2019,0.501388889,Efectivo,213.75,4.761904762,10.6875,9.5
283-79-9594,Cairo,Mandalay,Normal,Femenino,Comestibles,48.51,7,16.9785,356.5485,1/25/2019,0.5625,Tarjeta,339.57,4.761904762,16.9785,5.2
430-60-3493,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,94.88,7,33.208,697.368,2/3/2019,0.609722222,Efectivo,664.16,4.761904762,33.208,4.2
139-20-0155,Cairo,Mandalay,Afiliado,Masculino,Accesorios electronicos,40.3,10,20.15,423.15,1/24/2019,0.734027778,Tarjeta,403,4.761904762,20.15,7
558-80-4082,Giza,Naypyitaw,Normal,Masculino,Accesorios electronicos,27.85,7,9.7475,204.6975,3/14/2019,0.722222222,Digital,194.95,4.761904762,9.7475,6
278-97-7759,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,62.48,1,3.124,65.604,2/18/2019,0.853472222,Efectivo,62.48,4.761904762,3.124,4.7
316-68-6352,Alex,Yangon,Afiliado,Femenino,Comestibles,36.36,2,3.636,76.356,1/21/2019,0.416666667,Efectivo,72.72,4.761904762,3.636,7.1
585-03-5943,Cairo,Mandalay,Normal,Masculino,Salud y belleza,18.11,10,9.055,190.155,3/13/2019,0.490277778,Digital,181.1,4.761904762,9.055,5.9
211-05-0490,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,51.92,5,12.98,272.58,3/3/2019,0.570833333,Efectivo,259.6,4.761904762,12.98,7.5
727-75-6477,Giza,Naypyitaw,Normal,Masculino,Accesorios electronicos,28.84,4,5.768,121.128,3/29/2019,0.613888889,Efectivo,115.36,4.761904762,5.768,6.4
744-02-5987,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,78.38,6,23.514,493.794,1/10/2019,0.594444444,Digital,470.28,4.761904762,23.514,5.8
307-83-9164,Alex,Yangon,Afiliado,Masculino,Articulos para el hogar,60.01,4,12.002,252.042,1/25/2019,0.6625,Efectivo,240.04,4.761904762,12.002,4.5
779-06-0012,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,88.61,1,4.4305,93.0405,1/19/2019,0.43125,Efectivo,88.61,4.761904762,4.4305,7.7
446-47-6729,Giza,Naypyitaw,Normal,Masculino,Accesorios de moda,99.82,2,9.982,209.622,1/2/2019,0.75625,Tarjeta,199.64,4.761904762,9.982,6.7
573-10-3877,Cairo,Mandalay,Afiliado,Masculino,Salud y belleza,39.01,1,1.9505,40.9605,3/12/2019,0.698611111,Tarjeta,39.01,4.761904762,1.9505,4.7
735-06-4124,Giza,Naypyitaw,Normal,Masculino,Comestibles,48.61,1,2.4305,51.0405,2/25/2019,0.646527778,Efectivo,48.61,4.761904762,2.4305,4.4
439-54-7422,Alex,Yangon,Normal,Femenino,Accesorios electronicos,51.19,4,10.238,214.998,3/18/2019,0.71875,Tarjeta,204.76,4.761904762,10.238,4.7
396-90-2219,Cairo,Mandalay,Normal,Femenino,Accesorios electronicos,14.96,8,5.984,125.664,2/23/2019,0.520138889,Efectivo,119.68,4.761904762,5.984,8.6
411-77-0180,Alex,Yangon,Afiliado,Masculino,Accesorios electronicos,72.2,7,25.27,530.67,3/26/2019,0.843055556,Digital,505.4,4.761904762,25.27,4.3
286-01-5402,Alex,Yangon,Normal,Femenino,Entrenamiento y viajes,40.23,7,14.0805,295.6905,3/30/2019,0.556944444,Efectivo,281.61,4.761904762,14.0805,9.6
803-17-8013,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,88.79,8,35.516,745.836,2/17/2019,0.714583333,Efectivo,710.32,4.761904762,35.516,4.1
512-98-1403,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,26.48,3,3.972,83.412,3/21/2019,0.444444444,Digital,79.44,4.761904762,3.972,4.7
848-42-2560,Alex,Yangon,Normal,Femenino,Accesorios de moda,81.91,2,8.191,172.011,3/5/2019,0.738194444,Efectivo,163.82,4.761904762,8.191,7.8
532-59-7201,Cairo,Mandalay,Afiliado,Masculino,Entrenamiento y viajes,79.93,6,23.979,503.559,1/31/2019,0.586111111,Efectivo,479.58,4.761904762,23.979,5.5
181-94-6432,Giza,Naypyitaw,Afiliado,Masculino,Accesorios de moda,69.33,2,6.933,145.593,2/5/2019,0.795138889,Digital,138.66,4.761904762,6.933,9.7
870-76-1733,Alex,Yangon,Afiliado,Femenino,Comestibles,14.23,5,3.5575,74.7075,2/1/2019,0.422222222,Tarjeta,71.15,4.761904762,3.5575,4.4
